IssueType,Id,Name,Summary,EpicName,EpicLink,Sprint,Team,Application,Flow,StoryPoints,TotalStories,TotalStoryPoints
Epic,MULE2CAM-EPIC-sending-json-data-to-a-amqp-queue_1.4.0-SNAPSHOT,sending-json-data-to-a-amqp-queue_1.4.0-SNAPSHOT,Epic: sending-json-data-to-a-amqp-queue_1.4.0-SNAPSHOT Migration,sending-json-data-to-a-amqp-queue_1.4.0-SNAPSHOT,null,null,Standard Team,sending-json-data-to-a-amqp-queue_1.4.0-SNAPSHOT,null,null,1,3
Epic,MULE2CAM-EPIC-importing-a-CSV-file-into-Mongo-DB_1.4.0-SNAPSHOT,importing-a-CSV-file-into-Mongo-DB_1.4.0-SNAPSHOT,Epic: importing-a-CSV-file-into-Mongo-DB_1.4.0-SNAPSHOT Migration,importing-a-CSV-file-into-Mongo-DB_1.4.0-SNAPSHOT,null,null,Standard Team,importing-a-CSV-file-into-Mongo-DB_1.4.0-SNAPSHOT,null,null,1,5
Epic,MULE2CAM-EPIC-hello-world_1.4.0-SNAPSHOT,hello-world_1.4.0-SNAPSHOT,Epic: hello-world_1.4.0-SNAPSHOT Migration,hello-world_1.4.0-SNAPSHOT,null,null,Standard Team,hello-world_1.4.0-SNAPSHOT,null,null,1,2
Epic,MULE2CAM-EPIC-legacy-modernization_1.4.0-SNAPSHOT,legacy-modernization_1.4.0-SNAPSHOT,Epic: legacy-modernization_1.4.0-SNAPSHOT Migration,legacy-modernization_1.4.0-SNAPSHOT,null,null,Standard Team,legacy-modernization_1.4.0-SNAPSHOT,null,null,1,3
Epic,MULE2CAM-EPIC-extracting-data-from-LDAP-directory_1.4.0-SNAPSHOT,extracting-data-from-LDAP-directory_1.4.0-SNAPSHOT,Epic: extracting-data-from-LDAP-directory_1.4.0-SNAPSHOT Migration,extracting-data-from-LDAP-directory_1.4.0-SNAPSHOT,null,null,Standard Team,extracting-data-from-LDAP-directory_1.4.0-SNAPSHOT,null,null,1,3
Epic,MULE2CAM-EPIC-login-form-using-the-http-connector_1.4.0-SNAPSHOT,login-form-using-the-http-connector_1.4.0-SNAPSHOT,Epic: login-form-using-the-http-connector_1.4.0-SNAPSHOT Migration,login-form-using-the-http-connector_1.4.0-SNAPSHOT,null,null,Standard Team,login-form-using-the-http-connector_1.4.0-SNAPSHOT,null,null,3,7
Epic,MULE2CAM-EPIC-authenticating-salesforce-using-oauth2_1.4.0-SNAPSHOT,authenticating-salesforce-using-oauth2_1.4.0-SNAPSHOT,Epic: authenticating-salesforce-using-oauth2_1.4.0-SNAPSHOT Migration,authenticating-salesforce-using-oauth2_1.4.0-SNAPSHOT,null,null,Standard Team,authenticating-salesforce-using-oauth2_1.4.0-SNAPSHOT,null,null,1,3
Epic,MULE2CAM-EPIC-addition-using-javascript-transformer_1.4.0-SNAPSHOT,addition-using-javascript-transformer_1.4.0-SNAPSHOT,Epic: addition-using-javascript-transformer_1.4.0-SNAPSHOT Migration,addition-using-javascript-transformer_1.4.0-SNAPSHOT,null,null,Standard Team,addition-using-javascript-transformer_1.4.0-SNAPSHOT,null,null,1,3
Epic,MULE2CAM-EPIC-oauth2-client-credentials-using-the-HTTP-connector,oauth2-client-credentials-using-the-HTTP-connector,Epic: oauth2-client-credentials-using-the-HTTP-connector Migration,oauth2-client-credentials-using-the-HTTP-connector,null,null,Standard Team,oauth2-client-credentials-using-the-HTTP-connector,null,null,2,5
Epic,MULE2CAM-EPIC-salesforce-to-MySQL-DB-using-Batch-Processing_1.4.0-SNAPSHOT,salesforce-to-MySQL-DB-using-Batch-Processing_1.4.0-SNAPSHOT,Epic: salesforce-to-MySQL-DB-using-Batch-Processing_1.4.0-SNAPSHOT Migration,salesforce-to-MySQL-DB-using-Batch-Processing_1.4.0-SNAPSHOT,null,null,Standard Team,salesforce-to-MySQL-DB-using-Batch-Processing_1.4.0-SNAPSHOT,null,null,1,5
Epic,MULE2CAM-EPIC-cache-scope-with-fibonacci_1.4.0-SNAPSHOT,cache-scope-with-fibonacci_1.4.0-SNAPSHOT,Epic: cache-scope-with-fibonacci_1.4.0-SNAPSHOT Migration,cache-scope-with-fibonacci_1.4.0-SNAPSHOT,null,null,Standard Team,cache-scope-with-fibonacci_1.4.0-SNAPSHOT,null,null,2,8
Epic,MULE2CAM-EPIC-munit-short-tutorial_1.4.0-SNAPSHOT,munit-short-tutorial_1.4.0-SNAPSHOT,Epic: munit-short-tutorial_1.4.0-SNAPSHOT Migration,munit-short-tutorial_1.4.0-SNAPSHOT,null,null,Standard Team,munit-short-tutorial_1.4.0-SNAPSHOT,null,null,2,6
Epic,MULE2CAM-EPIC-using-transactional-scope-in-jms-to-database_1.4.0-SNAPSHOT,using-transactional-scope-in-jms-to-database_1.4.0-SNAPSHOT,Epic: using-transactional-scope-in-jms-to-database_1.4.0-SNAPSHOT Migration,using-transactional-scope-in-jms-to-database_1.4.0-SNAPSHOT,null,null,Standard Team,using-transactional-scope-in-jms-to-database_1.4.0-SNAPSHOT,null,null,1,5
Epic,MULE2CAM-EPIC-http-login-html-form,http-login-html-form,Epic: http-login-html-form Migration,http-login-html-form,null,null,Standard Team,http-login-html-form,null,null,2,5
Epic,MULE2CAM-EPIC-mule-expression-language-basics_1.4.0-SNAPSHOT,mule-expression-language-basics_1.4.0-SNAPSHOT,Epic: mule-expression-language-basics_1.4.0-SNAPSHOT Migration,mule-expression-language-basics_1.4.0-SNAPSHOT,null,null,Standard Team,mule-expression-language-basics_1.4.0-SNAPSHOT,null,null,6,19
Epic,MULE2CAM-EPIC-oauth2-authorization-code-using-the-HTTP-connector_1.4.0-SNAPSHOT,oauth2-authorization-code-using-the-HTTP-connector_1.4.0-SNAPSHOT,Epic: oauth2-authorization-code-using-the-HTTP-connector_1.4.0-SNAPSHOT Migration,oauth2-authorization-code-using-the-HTTP-connector_1.4.0-SNAPSHOT,null,null,Standard Team,oauth2-authorization-code-using-the-HTTP-connector_1.4.0-SNAPSHOT,null,null,2,6
Epic,MULE2CAM-EPIC-importing-an-email-attachment-using-the-IMAP-connector_1.4.0-SNAPSHOT,importing-an-email-attachment-using-the-IMAP-connector_1.4.0-SNAPSHOT,Epic: importing-an-email-attachment-using-the-IMAP-connector_1.4.0-SNAPSHOT Migration,importing-an-email-attachment-using-the-IMAP-connector_1.4.0-SNAPSHOT,null,null,Standard Team,importing-an-email-attachment-using-the-IMAP-connector_1.4.0-SNAPSHOT,null,null,1,5
Epic,MULE2CAM-EPIC-salesforce-data-retrieval_1.4.0-SNAPSHOT,salesforce-data-retrieval_1.4.0-SNAPSHOT,Epic: salesforce-data-retrieval_1.4.0-SNAPSHOT Migration,salesforce-data-retrieval_1.4.0-SNAPSHOT,null,null,Standard Team,salesforce-data-retrieval_1.4.0-SNAPSHOT,null,null,2,8
Epic,MULE2CAM-EPIC-proxying-a-rest-api_1.4.0-SNAPSHOT,proxying-a-rest-api_1.4.0-SNAPSHOT,Epic: proxying-a-rest-api_1.4.0-SNAPSHOT Migration,proxying-a-rest-api_1.4.0-SNAPSHOT,null,null,Standard Team,proxying-a-rest-api_1.4.0-SNAPSHOT,null,null,1,2
Epic,MULE2CAM-EPIC-import-contacts-into-ms-dynamics_1.4.0-SNAPSHOT,import-contacts-into-ms-dynamics_1.4.0-SNAPSHOT,Epic: import-contacts-into-ms-dynamics_1.4.0-SNAPSHOT Migration,import-contacts-into-ms-dynamics_1.4.0-SNAPSHOT,null,null,Standard Team,import-contacts-into-ms-dynamics_1.4.0-SNAPSHOT,null,null,1,5
Epic,MULE2CAM-EPIC-document-integration-using-the-cmis-connector_1.4.0-SNAPSHOT,document-integration-using-the-cmis-connector_1.4.0-SNAPSHOT,Epic: document-integration-using-the-cmis-connector_1.4.0-SNAPSHOT Migration,document-integration-using-the-cmis-connector_1.4.0-SNAPSHOT,null,null,Standard Team,document-integration-using-the-cmis-connector_1.4.0-SNAPSHOT,null,null,1,3
Epic,MULE2CAM-EPIC-http-oauth-provider,http-oauth-provider,Epic: http-oauth-provider Migration,http-oauth-provider,null,null,Standard Team,http-oauth-provider,null,null,2,5
Epic,MULE2CAM-EPIC-implementing-a-choice-exception-strategy_1.4.0-SNAPSHOT,implementing-a-choice-exception-strategy_1.4.0-SNAPSHOT,Epic: implementing-a-choice-exception-strategy_1.4.0-SNAPSHOT Migration,implementing-a-choice-exception-strategy_1.4.0-SNAPSHOT,null,null,Standard Team,implementing-a-choice-exception-strategy_1.4.0-SNAPSHOT,null,null,1,3
Epic,MULE2CAM-EPIC-importing-a-csv-file-into-ms-sharepoint,importing-a-csv-file-into-ms-sharepoint,Epic: importing-a-csv-file-into-ms-sharepoint Migration,importing-a-csv-file-into-ms-sharepoint,null,null,Standard Team,importing-a-csv-file-into-ms-sharepoint,null,null,1,3
Epic,MULE2CAM-EPIC-proxying-a-soap-api_1.4.0-SNAPSHOT,proxying-a-soap-api_1.4.0-SNAPSHOT,Epic: proxying-a-soap-api_1.4.0-SNAPSHOT Migration,proxying-a-soap-api_1.4.0-SNAPSHOT,null,null,Standard Team,proxying-a-soap-api_1.4.0-SNAPSHOT,null,null,1,3
Epic,MULE2CAM-EPIC-http-request-response-with-logger_1.4.0-SNAPSHOT,http-request-response-with-logger_1.4.0-SNAPSHOT,Epic: http-request-response-with-logger_1.4.0-SNAPSHOT Migration,http-request-response-with-logger_1.4.0-SNAPSHOT,null,null,Standard Team,http-request-response-with-logger_1.4.0-SNAPSHOT,null,null,1,2
Epic,MULE2CAM-EPIC-querying-a-mysql-database_1.4.0-SNAPSHOT,querying-a-mysql-database_1.4.0-SNAPSHOT,Epic: querying-a-mysql-database_1.4.0-SNAPSHOT Migration,querying-a-mysql-database_1.4.0-SNAPSHOT,null,null,Standard Team,querying-a-mysql-database_1.4.0-SNAPSHOT,null,null,1,2
Epic,MULE2CAM-EPIC-sending-json-data-to-a-jms-queue_1.4.0-SNAPSHOT,sending-json-data-to-a-jms-queue_1.4.0-SNAPSHOT,Epic: sending-json-data-to-a-jms-queue_1.4.0-SNAPSHOT Migration,sending-json-data-to-a-jms-queue_1.4.0-SNAPSHOT,null,null,Standard Team,sending-json-data-to-a-jms-queue_1.4.0-SNAPSHOT,null,null,1,3
Epic,MULE2CAM-EPIC-soap-webservice-security_1.4.0-SNAPSHOT,soap-webservice-security_1.4.0-SNAPSHOT,Epic: soap-webservice-security_1.4.0-SNAPSHOT Migration,soap-webservice-security_1.4.0-SNAPSHOT,null,null,Standard Team,soap-webservice-security_1.4.0-SNAPSHOT,null,null,7,24
Epic,MULE2CAM-EPIC-mule-component-bindings,mule-component-bindings,Epic: mule-component-bindings Migration,mule-component-bindings,null,null,Standard Team,mule-component-bindings,null,null,3,7
Epic,MULE2CAM-EPIC-xml-only-soap-webservice_1.4.0-SNAPSHOT,xml-only-soap-webservice_1.4.0-SNAPSHOT,Epic: xml-only-soap-webservice_1.4.0-SNAPSHOT Migration,xml-only-soap-webservice_1.4.0-SNAPSHOT,null,null,Standard Team,xml-only-soap-webservice_1.4.0-SNAPSHOT,null,null,3,9
Epic,MULE2CAM-EPIC-processing-orders-with-dataweave-and-APIkit_1.4.0-SNAPSHOT,processing-orders-with-dataweave-and-APIkit_1.4.0-SNAPSHOT,Epic: processing-orders-with-dataweave-and-APIkit_1.4.0-SNAPSHOT Migration,processing-orders-with-dataweave-and-APIkit_1.4.0-SNAPSHOT,null,null,Standard Team,processing-orders-with-dataweave-and-APIkit_1.4.0-SNAPSHOT,null,null,3,11
Epic,MULE2CAM-EPIC-exposing-a-restful-resource-using-the-HTTP-connector_1.4.0-SNAPSHOT,exposing-a-restful-resource-using-the-HTTP-connector_1.4.0-SNAPSHOT,Epic: exposing-a-restful-resource-using-the-HTTP-connector_1.4.0-SNAPSHOT Migration,exposing-a-restful-resource-using-the-HTTP-connector_1.4.0-SNAPSHOT,null,null,Standard Team,exposing-a-restful-resource-using-the-HTTP-connector_1.4.0-SNAPSHOT,null,null,3,10
Epic,MULE2CAM-EPIC-content-based-routing_1.4.0-SNAPSHOT,content-based-routing_1.4.0-SNAPSHOT,Epic: content-based-routing_1.4.0-SNAPSHOT Migration,content-based-routing_1.4.0-SNAPSHOT,null,null,Standard Team,content-based-routing_1.4.0-SNAPSHOT,null,null,1,3
Story,MULE2CAM-1-adding-a-new-customer-to-workday-revenue-management_1.4.0-SNAPSHOT-add-customer-flow,add-customer-flow,Migrate add-customer-flow from adding-a-new-customer-to-workday-revenue-management_1.4.0-SNAPSHOT,null,MULE2CAM-EPIC-adding-a-new-customer-to-workday-revenue-management_1.4.0-SNAPSHOT,1,Expert Team,adding-a-new-customer-to-workday-revenue-management_1.4.0-SNAPSHOT,add-customer-flow,8,null,null
Story,MULE2CAM-1-rest-api-with-apikit_1.4.0-SNAPSHOT-get:/fixture/{homeTeamId}/{awayTeamId}:leagues-config,get:/fixture/{homeTeamId}/{awayTeamId}:leagues-config,Migrate get:/fixture/{homeTeamId}/{awayTeamId}:leagues-config from rest-api-with-apikit_1.4.0-SNAPSHOT,null,MULE2CAM-EPIC-rest-api-with-apikit_1.4.0-SNAPSHOT,1,Expert Team,rest-api-with-apikit_1.4.0-SNAPSHOT,get:/fixture/{homeTeamId}/{awayTeamId}:leagues-config,8,null,null
Story,MULE2CAM-1-testing-apikit-with-munit_1.4.0-SNAPSHOT-post:/munit:api-config,post:/munit:api-config,Migrate post:/munit:api-config from testing-apikit-with-munit_1.4.0-SNAPSHOT,null,MULE2CAM-EPIC-testing-apikit-with-munit_1.4.0-SNAPSHOT,1,Expert Team,testing-apikit-with-munit_1.4.0-SNAPSHOT,post:/munit:api-config,8,null,null
Story,MULE2CAM-1-service-orchestration-and-choice-routing_1.4.0-SNAPSHOT-manufacturers,manufacturers,Migrate manufacturers from service-orchestration-and-choice-routing_1.4.0-SNAPSHOT,null,MULE2CAM-EPIC-service-orchestration-and-choice-routing_1.4.0-SNAPSHOT,1,Expert Team,service-orchestration-and-choice-routing_1.4.0-SNAPSHOT,manufacturers,3,null,null
Story,MULE2CAM-1-netsuite-data-retrieval_1.4.0-SNAPSHOT-get:/customers:netsuite-api-config,get:/customers:netsuite-api-config,Migrate get:/customers:netsuite-api-config from netsuite-data-retrieval_1.4.0-SNAPSHOT,null,MULE2CAM-EPIC-netsuite-data-retrieval_1.4.0-SNAPSHOT,1,Senior Team,netsuite-data-retrieval_1.4.0-SNAPSHOT,get:/customers:netsuite-api-config,13,null,null
Story,MULE2CAM-1-web-service-consumer_1.4.0-SNAPSHOT-orderTshirt,orderTshirt,Migrate orderTshirt from web-service-consumer_1.4.0-SNAPSHOT,null,MULE2CAM-EPIC-web-service-consumer_1.4.0-SNAPSHOT,1,Senior Team,web-service-consumer_1.4.0-SNAPSHOT,orderTshirt,13,null,null
Story,MULE2CAM-1-processing-orders-with-dataweave-and-APIkit_1.4.0-SNAPSHOT-OrderFlow,OrderFlow,Migrate OrderFlow from processing-orders-with-dataweave-and-APIkit_1.4.0-SNAPSHOT,null,MULE2CAM-EPIC-processing-orders-with-dataweave-and-APIkit_1.4.0-SNAPSHOT,1,Standard Team,processing-orders-with-dataweave-and-APIkit_1.4.0-SNAPSHOT,OrderFlow,8,null,null
Story,MULE2CAM-1-soap-webservice-security_1.4.0-SNAPSHOT-SignedSamlTokenServiceFlow,SignedSamlTokenServiceFlow,Migrate SignedSamlTokenServiceFlow from soap-webservice-security_1.4.0-SNAPSHOT,null,MULE2CAM-EPIC-soap-webservice-security_1.4.0-SNAPSHOT,1,Standard Team,soap-webservice-security_1.4.0-SNAPSHOT,SignedSamlTokenServiceFlow,5,null,null
Story,MULE2CAM-1-importing-a-csv-file-into-ms-sharepoint-importing-a-csv-file-into-ms-sharepointFlow,importing-a-csv-file-into-ms-sharepointFlow,Migrate importing-a-csv-file-into-ms-sharepointFlow from importing-a-csv-file-into-ms-sharepoint,null,MULE2CAM-EPIC-importing-a-csv-file-into-ms-sharepoint,1,Standard Team,importing-a-csv-file-into-ms-sharepoint,importing-a-csv-file-into-ms-sharepointFlow,3,null,null
Story,MULE2CAM-1-oauth2-client-credentials-using-the-HTTP-connector-httpclientcredentialsFlow,httpclientcredentialsFlow,Migrate httpclientcredentialsFlow from oauth2-client-credentials-using-the-HTTP-connector,null,MULE2CAM-EPIC-oauth2-client-credentials-using-the-HTTP-connector,1,Standard Team,oauth2-client-credentials-using-the-HTTP-connector,httpclientcredentialsFlow,3,null,null
Story,MULE2CAM-1-xml-only-soap-webservice_1.4.0-SNAPSHOT-admitPatientService,admitPatientService,Migrate admitPatientService from xml-only-soap-webservice_1.4.0-SNAPSHOT,null,MULE2CAM-EPIC-xml-only-soap-webservice_1.4.0-SNAPSHOT,1,Standard Team,xml-only-soap-webservice_1.4.0-SNAPSHOT,admitPatientService,3,null,null
Story,MULE2CAM-1-oauth2-client-credentials-using-the-HTTP-connector-http-client-credentialsFlow,http-client-credentialsFlow,Migrate http-client-credentialsFlow from oauth2-client-credentials-using-the-HTTP-connector,null,MULE2CAM-EPIC-oauth2-client-credentials-using-the-HTTP-connector,1,Standard Team,oauth2-client-credentials-using-the-HTTP-connector,http-client-credentialsFlow,2,null,null
Story,MULE2CAM-2-netsuite-data-retrieval_1.4.0-SNAPSHOT-get:/items:netsuite-api-config,get:/items:netsuite-api-config,Migrate get:/items:netsuite-api-config from netsuite-data-retrieval_1.4.0-SNAPSHOT,null,MULE2CAM-EPIC-netsuite-data-retrieval_1.4.0-SNAPSHOT,2,Expert Team,netsuite-data-retrieval_1.4.0-SNAPSHOT,get:/items:netsuite-api-config,13,null,null
Story,MULE2CAM-2-sap-data-retrieval_1.4.0-SNAPSHOT-sap-api-main,sap-api-main,Migrate sap-api-main from sap-data-retrieval_1.4.0-SNAPSHOT,null,MULE2CAM-EPIC-sap-data-retrieval_1.4.0-SNAPSHOT,2,Expert Team,sap-data-retrieval_1.4.0-SNAPSHOT,sap-api-main,8,null,null
Story,MULE2CAM-2-upload-to-ftp-after-converting-json-to-xml_1.4.0-SNAPSHOT-main,main,Migrate main from upload-to-ftp-after-converting-json-to-xml_1.4.0-SNAPSHOT,null,MULE2CAM-EPIC-upload-to-ftp-after-converting-json-to-xml_1.4.0-SNAPSHOT,2,Expert Team,upload-to-ftp-after-converting-json-to-xml_1.4.0-SNAPSHOT,main,8,null,null
Story,MULE2CAM-2-track-a-custom-business-event_1.4.0-SNAPSHOT-custom-business-eventsFlow1,custom-business-eventsFlow1,Migrate custom-business-eventsFlow1 from track-a-custom-business-event_1.4.0-SNAPSHOT,null,MULE2CAM-EPIC-track-a-custom-business-event_1.4.0-SNAPSHOT,2,Expert Team,track-a-custom-business-event_1.4.0-SNAPSHOT,custom-business-eventsFlow1,3,null,null
Story,MULE2CAM-2-filtering-a-message_1.4.0-SNAPSHOT-filteringFlow1,filteringFlow1,Migrate filteringFlow1 from filtering-a-message_1.4.0-SNAPSHOT,null,MULE2CAM-EPIC-filtering-a-message_1.4.0-SNAPSHOT,2,Senior Team,filtering-a-message_1.4.0-SNAPSHOT,filteringFlow1,8,null,null
